single_city_column_1,single_city_column_2,single_city_column_3,single_city_column_4,single_city_column_5,single_city_column_6,single_city_column_7,single_city_column_8,single_city_column_9,single_city_column_10
0.09248,0.096684,0.070061,0.065857,0.078468,0.071462,0.05418,0.044372,0.054647,0.050911
0.096684,0.070061,0.065857,0.078468,0.071462,0.05418,0.044372,0.054647,0.050911,0.042971
0.070061,0.065857,0.078468,0.071462,0.05418,0.044372,0.054647,0.050911,0.042971,0.050911
0.065857,0.078468,0.071462,0.05418,0.044372,0.054647,0.050911,0.042971,0.050911,0.047641
0.078468,0.071462,0.05418,0.044372,0.054647,0.050911,0.042971,0.050911,0.047641,0.044839
0.071462,0.05418,0.044372,0.054647,0.050911,0.042971,0.050911,0.047641,0.044839,0.059785
0.05418,0.044372,0.054647,0.050911,0.042971,0.050911,0.047641,0.044839,0.059785,0.062588
0.044372,0.054647,0.050911,0.042971,0.050911,0.047641,0.044839,0.059785,0.062588,0.063989
0.054647,0.050911,0.042971,0.050911,0.047641,0.044839,0.059785,0.062588,0.063989,0.088277
0.050911,0.042971,0.050911,0.047641,0.044839,0.059785,0.062588,0.063989,0.088277,0.1135
0.042971,0.050911,0.047641,0.044839,0.059785,0.062588,0.063989,0.088277,0.1135,0.12284
0.050911,0.047641,0.044839,0.059785,0.062588,0.063989,0.088277,0.1135,0.12284,0.12518
0.047641,0.044839,0.059785,0.062588,0.063989,0.088277,0.1135,0.12284,0.12518,0.13825
0.044839,0.059785,0.062588,0.063989,0.088277,0.1135,0.12284,0.12518,0.13825,0.16114
0.059785,0.062588,0.063989,0.088277,0.1135,0.12284,0.12518,0.13825,0.16114,0.15507
0.062588,0.063989,0.088277,0.1135,0.12284,0.12518,0.13825,0.16114,0.15507,0.16861
0.063989,0.088277,0.1135,0.12284,0.12518,0.13825,0.16114,0.15507,0.16861,0.14806
0.088277,0.1135,0.12284,0.12518,0.13825,0.16114,0.15507,0.16861,0.14806,0.19383
0.1135,0.12284,0.12518,0.13825,0.16114,0.15507,0.16861,0.14806,0.19383,0.15413
0.12284,0.12518,0.13825,0.16114,0.15507,0.16861,0.14806,0.19383,0.15413,0.13125
0.12518,0.13825,0.16114,0.15507,0.16861,0.14806,0.19383,0.15413,0.13125,0.18309
0.13825,0.16114,0.15507,0.16861,0.14806,0.19383,0.15413,0.13125,0.18309,0.156
0.16114,0.15507,0.16861,0.14806,0.19383,0.15413,0.13125,0.18309,0.156,0.1546
0.15507,0.16861,0.14806,0.19383,0.15413,0.13125,0.18309,0.156,0.1546,0.16815
0.16861,0.14806,0.19383,0.15413,0.13125,0.18309,0.156,0.1546,0.16815,0.16161
0.14806,0.19383,0.15413,0.13125,0.18309,0.156,0.1546,0.16815,0.16161,0.19524
0.19383,0.15413,0.13125,0.18309,0.156,0.1546,0.16815,0.16161,0.19524,0.19337
0.15413,0.13125,0.18309,0.156,0.1546,0.16815,0.16161,0.19524,0.19337,0.22046
0.13125,0.18309,0.156,0.1546,0.16815,0.16161,0.19524,0.19337,0.22046,0.24615
0.18309,0.156,0.1546,0.16815,0.16161,0.19524,0.19337,0.22046,0.24615,0.26063
0.156,0.1546,0.16815,0.16161,0.19524,0.19337,0.22046,0.24615,0.26063,0.24054
0.1546,0.16815,0.16161,0.19524,0.19337,0.22046,0.24615,0.26063,0.24054,0.27557
0.16815,0.16161,0.19524,0.19337,0.22046,0.24615,0.26063,0.24054,0.27557,0.25222
0.16161,0.19524,0.19337,0.22046,0.24615,0.26063,0.24054,0.27557,0.25222,0.2667
0.19524,0.19337,0.22046,0.24615,0.26063,0.24054,0.27557,0.25222,0.2667,0.28538
0.19337,0.22046,0.24615,0.26063,0.24054,0.27557,0.25222,0.2667,0.28538,0.30266
0.22046,0.24615,0.26063,0.24054,0.27557,0.25222,0.2667,0.28538,0.30266,0.30266
0.24615,0.26063,0.24054,0.27557,0.25222,0.2667,0.28538,0.30266,0.30266,0.30079
0.26063,0.24054,0.27557,0.25222,0.2667,0.28538,0.30266,0.30266,0.30079,0.31154
0.24054,0.27557,0.25222,0.2667,0.28538,0.30266,0.30266,0.30079,0.31154,0.28538
0.27557,0.25222,0.2667,0.28538,0.30266,0.30266,0.30079,0.31154,0.28538,0.29706
0.25222,0.2667,0.28538,0.30266,0.30266,0.30079,0.31154,0.28538,0.29706,0.33582
0.2667,0.28538,0.30266,0.30266,0.30079,0.31154,0.28538,0.29706,0.33582,0.31154
0.28538,0.30266,0.30266,0.30079,0.31154,0.28538,0.29706,0.33582,0.31154,0.32181
0.30266,0.30266,0.30079,0.31154,0.28538,0.29706,0.33582,0.31154,0.32181,0.29752
0.30266,0.30079,0.31154,0.28538,0.29706,0.33582,0.31154,0.32181,0.29752,0.29752
0.30079,0.31154,0.28538,0.29706,0.33582,0.31154,0.32181,0.29752,0.29752,0.32135
0.31154,0.28538,0.29706,0.33582,0.31154,0.32181,0.29752,0.29752,0.32135,0.35077
0.28538,0.29706,0.33582,0.31154,0.32181,0.29752,0.29752,0.32135,0.35077,0.33209
0.29706,0.33582,0.31154,0.32181,0.29752,0.29752,0.32135,0.35077,0.33209,0.33022
0.33582,0.31154,0.32181,0.29752,0.29752,0.32135,0.35077,0.33209,0.33022,0.31574
0.31154,0.32181,0.29752,0.29752,0.32135,0.35077,0.33209,0.33022,0.31574,0.3022
0.32181,0.29752,0.29752,0.32135,0.35077,0.33209,0.33022,0.31574,0.3022,0.34003
0.29752,0.29752,0.32135,0.35077,0.33209,0.33022,0.31574,0.3022,0.34003,0.312
0.29752,0.32135,0.35077,0.33209,0.33022,0.31574,0.3022,0.34003,0.312,0.31761
0.32135,0.35077,0.33209,0.33022,0.31574,0.3022,0.34003,0.312,0.31761,0.29519
0.35077,0.33209,0.33022,0.31574,0.3022,0.34003,0.312,0.31761,0.29519,0.30827
0.33209,0.33022,0.31574,0.3022,0.34003,0.312,0.31761,0.29519,0.30827,0.31621
0.33022,0.31574,0.3022,0.34003,0.312,0.31761,0.29519,0.30827,0.31621,0.30873
0.31574,0.3022,0.34003,0.312,0.31761,0.29519,0.30827,0.31621,0.30873,0.28865
0.3022,0.34003,0.312,0.31761,0.29519,0.30827,0.31621,0.30873,0.28865,0.28912
0.34003,0.312,0.31761,0.29519,0.30827,0.31621,0.30873,0.28865,0.28912,0.29752
0.312,0.31761,0.29519,0.30827,0.31621,0.30873,0.28865,0.28912,0.29752,0.32088
0.31761,0.29519,0.30827,0.31621,0.30873,0.28865,0.28912,0.29752,0.32088,0.28958
0.29519,0.30827,0.31621,0.30873,0.28865,0.28912,0.29752,0.32088,0.28958,0.29145
0.30827,0.31621,0.30873,0.28865,0.28912,0.29752,0.32088,0.28958,0.29145,0.30079
0.31621,0.30873,0.28865,0.28912,0.29752,0.32088,0.28958,0.29145,0.30079,0.27931
0.30873,0.28865,0.28912,0.29752,0.32088,0.28958,0.29145,0.30079,0.27931,0.26436
0.28865,0.28912,0.29752,0.32088,0.28958,0.29145,0.30079,0.27931,0.26436,0.26576
0.28912,0.29752,0.32088,0.28958,0.29145,0.30079,0.27931,0.26436,0.26576,0.2695
0.29752,0.32088,0.28958,0.29145,0.30079,0.27931,0.26436,0.26576,0.2695,0.26203
0.32088,0.28958,0.29145,0.30079,0.27931,0.26436,0.26576,0.2695,0.26203,0.23961
0.28958,0.29145,0.30079,0.27931,0.26436,0.26576,0.2695,0.26203,0.23961,0.24615
0.29145,0.30079,0.27931,0.26436,0.26576,0.2695,0.26203,0.23961,0.24615,0.23027
0.30079,0.27931,0.26436,0.26576,0.2695,0.26203,0.23961,0.24615,0.23027,0.21812
0.27931,0.26436,0.26576,0.2695,0.26203,0.23961,0.24615,0.23027,0.21812,0.16908
0.26436,0.26576,0.2695,0.26203,0.23961,0.24615,0.23027,0.21812,0.16908,0.18216
0.26576,0.2695,0.26203,0.23961,0.24615,0.23027,0.21812,0.16908,0.18216,0.19851
0.2695,0.26203,0.23961,0.24615,0.23027,0.21812,0.16908,0.18216,0.19851,0.1873
0.26203,0.23961,0.24615,0.23027,0.21812,0.16908,0.18216,0.19851,0.1873,0.17702
0.23961,0.24615,0.23027,0.21812,0.16908,0.18216,0.19851,0.1873,0.17702,0.15974
0.24615,0.23027,0.21812,0.16908,0.18216,0.19851,0.1873,0.17702,0.15974,0.14713
0.23027,0.21812,0.16908,0.18216,0.19851,0.1873,0.17702,0.15974,0.14713,0.13638
0.21812,0.16908,0.18216,0.19851,0.1873,0.17702,0.15974,0.14713,0.13638,0.097618
0.16908,0.18216,0.19851,0.1873,0.17702,0.15974,0.14713,0.13638,0.097618,0.10743
0.18216,0.19851,0.1873,0.17702,0.15974,0.14713,0.13638,0.097618,0.10743,0.085007
0.19851,0.1873,0.17702,0.15974,0.14713,0.13638,0.097618,0.10743,0.085007,0.084073
0.1873,0.17702,0.15974,0.14713,0.13638,0.097618,0.10743,0.085007,0.084073,0.054647
0.17702,0.15974,0.14713,0.13638,0.097618,0.10743,0.085007,0.084073,0.054647,0.068192
0.15974,0.14713,0.13638,0.097618,0.10743,0.085007,0.084073,0.054647,0.068192,0.042971
0.14713,0.13638,0.097618,0.10743,0.085007,0.084073,0.054647,0.068192,0.042971,0.042971
0.13638,0.097618,0.10743,0.085007,0.084073,0.054647,0.068192,0.042971,0.042971,0.033162
0.097618,0.10743,0.085007,0.084073,0.054647,0.068192,0.042971,0.042971,0.033162,0.038767
0.10743,0.085007,0.084073,0.054647,0.068192,0.042971,0.042971,0.033162,0.038767,0.036432
0.085007,0.084073,0.054647,0.068192,0.042971,0.042971,0.033162,0.038767,0.036432,0.047174
0.084073,0.054647,0.068192,0.042971,0.042971,0.033162,0.038767,0.036432,0.047174,0.024755
0.054647,0.068192,0.042971,0.042971,0.033162,0.038767,0.036432,0.047174,0.024755,0.036899
0.068192,0.042971,0.042971,0.033162,0.038767,0.036432,0.047174,0.024755,0.036899,0.041569
0.042971,0.042971,0.033162,0.038767,0.036432,0.047174,0.024755,0.036899,0.041569,0.039701
0.042971,0.033162,0.038767,0.036432,0.047174,0.024755,0.036899,0.041569,0.039701,0.046707
0.033162,0.038767,0.036432,0.047174,0.024755,0.036899,0.041569,0.039701,0.046707,0.064923
0.038767,0.036432,0.047174,0.024755,0.036899,0.041569,0.039701,0.046707,0.064923,0.082672
0.036432,0.047174,0.024755,0.036899,0.041569,0.039701,0.046707,0.064923,0.082672,0.092947
0.047174,0.024755,0.036899,0.041569,0.039701,0.046707,0.064923,0.082672,0.092947,0.11537
0.024755,0.036899,0.041569,0.039701,0.046707,0.064923,0.082672,0.092947,0.11537,0.17795
0.036899,0.041569,0.039701,0.046707,0.064923,0.082672,0.092947,0.11537,0.17795,0.24334
0.041569,0.039701,0.046707,0.064923,0.082672,0.092947,0.11537,0.17795,0.24334,0.27837
0.039701,0.046707,0.064923,0.082672,0.092947,0.11537,0.17795,0.24334,0.27837,0.32135
0.046707,0.064923,0.082672,0.092947,0.11537,0.17795,0.24334,0.27837,0.32135,0.41289
0.064923,0.082672,0.092947,0.11537,0.17795,0.24334,0.27837,0.32135,0.41289,0.43531
0.082672,0.092947,0.11537,0.17795,0.24334,0.27837,0.32135,0.41289,0.43531,0.45119
0.092947,0.11537,0.17795,0.24334,0.27837,0.32135,0.41289,0.43531,0.45119,0.43438
0.11537,0.17795,0.24334,0.27837,0.32135,0.41289,0.43531,0.45119,0.43438,0.36198
0.17795,0.24334,0.27837,0.32135,0.41289,0.43531,0.45119,0.43438,0.36198,0.37506
0.24334,0.27837,0.32135,0.41289,0.43531,0.45119,0.43438,0.36198,0.37506,0.36011
0.27837,0.32135,0.41289,0.43531,0.45119,0.43438,0.36198,0.37506,0.36011,0.33069
0.32135,0.41289,0.43531,0.45119,0.43438,0.36198,0.37506,0.36011,0.33069,0.35684
0.41289,0.43531,0.45119,0.43438,0.36198,0.37506,0.36011,0.33069,0.35684,0.33536
0.43531,0.45119,0.43438,0.36198,0.37506,0.36011,0.33069,0.35684,0.33536,0.33909
0.45119,0.43438,0.36198,0.37506,0.36011,0.33069,0.35684,0.33536,0.33909,0.35778
0.43438,0.36198,0.37506,0.36011,0.33069,0.35684,0.33536,0.33909,0.35778,0.34143
0.36198,0.37506,0.36011,0.33069,0.35684,0.33536,0.33909,0.35778,0.34143,0.32648
0.37506,0.36011,0.33069,0.35684,0.33536,0.33909,0.35778,0.34143,0.32648,0.34236
0.36011,0.33069,0.35684,0.33536,0.33909,0.35778,0.34143,0.32648,0.34236,0.33816
0.33069,0.35684,0.33536,0.33909,0.35778,0.34143,0.32648,0.34236,0.33816,0.33302
0.35684,0.33536,0.33909,0.35778,0.34143,0.32648,0.34236,0.33816,0.33302,0.36245
0.33536,0.33909,0.35778,0.34143,0.32648,0.34236,0.33816,0.33302,0.36245,0.37132
0.33909,0.35778,0.34143,0.32648,0.34236,0.33816,0.33302,0.36245,0.37132,0.36011
0.35778,0.34143,0.32648,0.34236,0.33816,0.33302,0.36245,0.37132,0.36011,0.35451
0.34143,0.32648,0.34236,0.33816,0.33302,0.36245,0.37132,0.36011,0.35451,0.34376
0.32648,0.34236,0.33816,0.33302,0.36245,0.37132,0.36011,0.35451,0.34376,0.32275
0.34236,0.33816,0.33302,0.36245,0.37132,0.36011,0.35451,0.34376,0.32275,0.33723
0.33816,0.33302,0.36245,0.37132,0.36011,0.35451,0.34376,0.32275,0.33723,0.30173
0.33302,0.36245,0.37132,0.36011,0.35451,0.34376,0.32275,0.33723,0.30173,0.31527
0.36245,0.37132,0.36011,0.35451,0.34376,0.32275,0.33723,0.30173,0.31527,0.33162
0.37132,0.36011,0.35451,0.34376,0.32275,0.33723,0.30173,0.31527,0.33162,0.31854
0.36011,0.35451,0.34376,0.32275,0.33723,0.30173,0.31527,0.33162,0.31854,0.31667
0.35451,0.34376,0.32275,0.33723,0.30173,0.31527,0.33162,0.31854,0.31667,0.29939
0.34376,0.32275,0.33723,0.30173,0.31527,0.33162,0.31854,0.31667,0.29939,0.31854
0.32275,0.33723,0.30173,0.31527,0.33162,0.31854,0.31667,0.29939,0.31854,0.33022
0.33723,0.30173,0.31527,0.33162,0.31854,0.31667,0.29939,0.31854,0.33022,0.35077
0.30173,0.31527,0.33162,0.31854,0.31667,0.29939,0.31854,0.33022,0.35077,0.34003
0.31527,0.33162,0.31854,0.31667,0.29939,0.31854,0.33022,0.35077,0.34003,0.31154
0.33162,0.31854,0.31667,0.29939,0.31854,0.33022,0.35077,0.34003,0.31154,0.28865
0.31854,0.31667,0.29939,0.31854,0.33022,0.35077,0.34003,0.31154,0.28865,0.29659
0.31667,0.29939,0.31854,0.33022,0.35077,0.34003,0.31154,0.28865,0.29659,0.31434
0.29939,0.31854,0.33022,0.35077,0.34003,0.31154,0.28865,0.29659,0.31434,0.32742
0.31854,0.33022,0.35077,0.34003,0.31154,0.28865,0.29659,0.31434,0.32742,0.3078
0.33022,0.35077,0.34003,0.31154,0.28865,0.29659,0.31434,0.32742,0.3078,0.32321
0.35077,0.34003,0.31154,0.28865,0.29659,0.31434,0.32742,0.3078,0.32321,0.33489
0.34003,0.31154,0.28865,0.29659,0.31434,0.32742,0.3078,0.32321,0.33489,0.3461
0.31154,0.28865,0.29659,0.31434,0.32742,0.3078,0.32321,0.33489,0.3461,0.31808
0.28865,0.29659,0.31434,0.32742,0.3078,0.32321,0.33489,0.3461,0.31808,0.37085
0.29659,0.31434,0.32742,0.3078,0.32321,0.33489,0.3461,0.31808,0.37085,0.3433
0.31434,0.32742,0.3078,0.32321,0.33489,0.3461,0.31808,0.37085,0.3433,0.37132
0.32742,0.3078,0.32321,0.33489,0.3461,0.31808,0.37085,0.3433,0.37132,0.40028
0.3078,0.32321,0.33489,0.3461,0.31808,0.37085,0.3433,0.37132,0.40028,0.37132
0.32321,0.33489,0.3461,0.31808,0.37085,0.3433,0.37132,0.40028,0.37132,0.33489
0.33489,0.3461,0.31808,0.37085,0.3433,0.37132,0.40028,0.37132,0.33489,0.33816
0.3461,0.31808,0.37085,0.3433,0.37132,0.40028,0.37132,0.33489,0.33816,0.32321
0.31808,0.37085,0.3433,0.37132,0.40028,0.37132,0.33489,0.33816,0.32321,0.31574
0.37085,0.3433,0.37132,0.40028,0.37132,0.33489,0.33816,0.32321,0.31574,0.30687
0.3433,0.37132,0.40028,0.37132,0.33489,0.33816,0.32321,0.31574,0.30687,0.27043
0.37132,0.40028,0.37132,0.33489,0.33816,0.32321,0.31574,0.30687,0.27043,0.23821
0.40028,0.37132,0.33489,0.33816,0.32321,0.31574,0.30687,0.27043,0.23821,0.23447
0.37132,0.33489,0.33816,0.32321,0.31574,0.30687,0.27043,0.23821,0.23447,0.20364
0.33489,0.33816,0.32321,0.31574,0.30687,0.27043,0.23821,0.23447,0.20364,0.19897
0.33816,0.32321,0.31574,0.30687,0.27043,0.23821,0.23447,0.20364,0.19897,0.17795
0.32321,0.31574,0.30687,0.27043,0.23821,0.23447,0.20364,0.19897,0.17795,0.16301
0.31574,0.30687,0.27043,0.23821,0.23447,0.20364,0.19897,0.17795,0.16301,0.16534
0.30687,0.27043,0.23821,0.23447,0.20364,0.19897,0.17795,0.16301,0.16534,0.17468
0.27043,0.23821,0.23447,0.20364,0.19897,0.17795,0.16301,0.16534,0.17468,0.16021
0.23821,0.23447,0.20364,0.19897,0.17795,0.16301,0.16534,0.17468,0.16021,0.16861
0.23447,0.20364,0.19897,0.17795,0.16301,0.16534,0.17468,0.16021,0.16861,0.1901
0.20364,0.19897,0.17795,0.16301,0.16534,0.17468,0.16021,0.16861,0.1901,0.16441
0.19897,0.17795,0.16301,0.16534,0.17468,0.16021,0.16861,0.1901,0.16441,0.14526
0.17795,0.16301,0.16534,0.17468,0.16021,0.16861,0.1901,0.16441,0.14526,0.13265
0.16301,0.16534,0.17468,0.16021,0.16861,0.1901,0.16441,0.14526,0.13265,0.13498
0.16534,0.17468,0.16021,0.16861,0.1901,0.16441,0.14526,0.13265,0.13498,0.10416
0.17468,0.16021,0.16861,0.1901,0.16441,0.14526,0.13265,0.13498,0.10416,0.08454
0.16021,0.16861,0.1901,0.16441,0.14526,0.13265,0.13498,0.10416,0.08454,0.08127
0.16861,0.1901,0.16441,0.14526,0.13265,0.13498,0.10416,0.08454,0.08127,0.075199
0.1901,0.16441,0.14526,0.13265,0.13498,0.10416,0.08454,0.08127,0.075199,0.068192
0.16441,0.14526,0.13265,0.13498,0.10416,0.08454,0.08127,0.075199,0.068192,0.045773
0.14526,0.13265,0.13498,0.10416,0.08454,0.08127,0.075199,0.068192,0.045773,0.050911
0.13265,0.13498,0.10416,0.08454,0.08127,0.075199,0.068192,0.045773,0.050911,0.041102
0.13498,0.10416,0.08454,0.08127,0.075199,0.068192,0.045773,0.050911,0.041102,0.03503
0.10416,0.08454,0.08127,0.075199,0.068192,0.045773,0.050911,0.041102,0.03503,0.039234
0.08454,0.08127,0.075199,0.068192,0.045773,0.050911,0.041102,0.03503,0.039234,0.036432
0.08127,0.075199,0.068192,0.045773,0.050911,0.041102,0.03503,0.039234,0.036432,0.028491
0.075199,0.068192,0.045773,0.050911,0.041102,0.03503,0.039234,0.036432,0.028491,0.017749
0.068192,0.045773,0.050911,0.041102,0.03503,0.039234,0.036432,0.028491,0.017749,0.037833
0.045773,0.050911,0.041102,0.03503,0.039234,0.036432,0.028491,0.017749,0.037833,0.031761
0.050911,0.041102,0.03503,0.039234,0.036432,0.028491,0.017749,0.037833,0.031761,0.035497
0.041102,0.03503,0.039234,0.036432,0.028491,0.017749,0.037833,0.031761,0.035497,0.031761
0.03503,0.039234,0.036432,0.028491,0.017749,0.037833,0.031761,0.035497,0.031761,0.050444
0.039234,0.036432,0.028491,0.017749,0.037833,0.031761,0.035497,0.031761,0.050444,0.052312
0.036432,0.028491,0.017749,0.037833,0.031761,0.035497,0.031761,0.050444,0.052312,0.078001
0.028491,0.017749,0.037833,0.031761,0.035497,0.031761,0.050444,0.052312,0.078001,0.10509
0.017749,0.037833,0.031761,0.035497,0.031761,0.050444,0.052312,0.078001,0.10509,0.1205
0.037833,0.031761,0.035497,0.031761,0.050444,0.052312,0.078001,0.10509,0.1205,0.16815
0.031761,0.035497,0.031761,0.050444,0.052312,0.078001,0.10509,0.1205,0.16815,0.21952
0.035497,0.031761,0.050444,0.052312,0.078001,0.10509,0.1205,0.16815,0.21952,0.24148
0.031761,0.050444,0.052312,0.078001,0.10509,0.1205,0.16815,0.21952,0.24148,0.27837
0.050444,0.052312,0.078001,0.10509,0.1205,0.16815,0.21952,0.24148,0.27837,0.4199
0.052312,0.078001,0.10509,0.1205,0.16815,0.21952,0.24148,0.27837,0.4199,0.42784
